date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:28	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://itucollegeofmedicine.godaddysites.com/robots.txt		(from )
10:07:29	75166/75166	---MCZ	200	added ('OK')	text/html	etag:66065c53ff7ff1c2937174f66db867fd	https://itucollegeofmedicine.godaddysites.com/	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/index.html	(from )
10:07:30	473/473	---MCZ	200	added ('OK')	application/manifest+json	etag:966e218abc43b220886b21118a6dd30e	https://itucollegeofmedicine.godaddysites.com/manifest.webmanifest	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/manifest.webmanifest	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:35	330/330	---M-Z	200	added ('OK')	text/css	etag:%221e154e5ed919387ff6d969c8d6c56619%22	http://img1.wsimg.com/blobby/go/font/LeagueSpartan/league-spartan.css	C:/Users/ITU/Videos/ITU%20WEBSITE/img1.wsimg.com/blobby/go/font/LeagueSpartan/league-spartan.css	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:35	414748/414748	---M--	200	added ('OK')	image/jpeg	etag:897406325	https://img1.wsimg.com/isteam/ip/3ee0dd7e-9d7b-48c5-ad70-9ebbd0f555f4/server3.jpg	C:/Users/ITU/Videos/ITU%20WEBSITE/img1.wsimg.com/isteam/ip/3ee0dd7e-9d7b-48c5-ad70-9ebbd0f555f4/server3.jpg	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:35	31337/31337	---MCZ	200	added ('OK')	application/javascript	etag:34f4228942b257f6e895e5f4326abd22	https://itucollegeofmedicine.godaddysites.com/sw.js	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/sw.js	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:36	78251/78251	---MCZ	200	added ('OK')	text/html	etag:016e7904893641fa192d27388afea29c	https://itucollegeofmedicine.godaddysites.com/services	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/services.html	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:36	69195/69195	---MCZ	200	added ('OK')	text/html	etag:6647309c0424860a45dece2783885da5	https://itucollegeofmedicine.godaddysites.com/contact-us	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/contact-us.html	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:37	56491/56491	---MCZ	200	added ('OK')	text/html	etag:dc216af3ed52ed3e9c5b657cb59e0ea6	https://itucollegeofmedicine.godaddysites.com/staff	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/staff.html	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:39	59845/59845	---M-Z	200	added ('OK')	application/javascript	etag:%22da5da97f629e8b0e98dafb301db1ad47%22	http://img1.wsimg.com/blobby/go/3ee0dd7e-9d7b-48c5-ad70-9ebbd0f555f4/gpub/58cd6ab6ff41676d/script.js	C:/Users/ITU/Videos/ITU%20WEBSITE/img1.wsimg.com/blobby/go/3ee0dd7e-9d7b-48c5-ad70-9ebbd0f555f4/gpub/58cd6ab6ff41676d/script.js	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:40	20779/20779	---M-Z	200	added ('OK')	application/javascript	etag:%2222b078482f7ef88de5260b6d0c2d15a6%22	http://img1.wsimg.com/blobby/go/3ee0dd7e-9d7b-48c5-ad70-9ebbd0f555f4/gpub/a77fedf64cfc371c/script.js	C:/Users/ITU/Videos/ITU%20WEBSITE/img1.wsimg.com/blobby/go/3ee0dd7e-9d7b-48c5-ad70-9ebbd0f555f4/gpub/a77fedf64cfc371c/script.js	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:41	11891/11891	---M-Z	200	added ('OK')	application/x-javascript	etag:%2252ef5c943baad21:0%22	http://img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	C:/Users/ITU/Videos/ITU%20WEBSITE/img1.wsimg.com/tcc/tcc_l.combined.1.0.6.min.js	(from https://itucollegeofmedicine.godaddysites.com/)
10:07:42	2321/2321	---MCZ	200	added ('OK')	application/atom+xml	etag:016e7904893641fa192d27388afea29c	https://itucollegeofmedicine.godaddysites.com/services/f.atom	C:/Users/ITU/Videos/ITU%20WEBSITE/itucollegeofmedicine.godaddysites.com/services/f.atom	(from https://itucollegeofmedicine.godaddysites.com/services)
